"id","name","displayName","description","created_at","updated_at"
1,sudo,SU ADMIN,Super administrateur de la plateforme,"2024-03-30 00:44:47","2024-03-30 00:44:47"
2,admin,Admin,Administrateur de la plateforme,"2024-03-30 00:44:47","2024-03-30 00:44:47"
3,end_user,Utilisateur final,Utilisateur de la plateforme,"2024-03-30 00:44:47","2024-03-30 00:44:47"
4,user_manager,Gestionnaire d'utilisateurs,Gérant des utilisateurs de la plateforme,"2024-03-30 00:44:47","2024-03-30 00:44:47"
5,resource_manager,Gestionnaire des ressources,Gérant des ressources dans la plateforme,"2024-03-30 00:44:47","2024-03-30 00:44:47"
6,event_manager,Gestionnaire des ressources,Gérant des ressources dans la plateforme,"2024-03-30 00:44:47","2024-03-30 00:44:47"
7,assembly_manager,Gestionnaire des assemblées,Gérant des assemblées dans la plateforme,"2024-03-30 00:44:47","2024-03-30 00:44:47"
8,media_manager,Gestionnaire des médias,Gérant des médias dans la plateforme,"2024-03-30 00:44:47","2024-03-30 00:44:47"
9,hub_manager,Gestionnaire des HUB,Gérant des HUB dans la plateforme,"2024-03-30 00:44:47","2024-03-30 00:44:47"
10,sector_manager,Responsable des secteurs,Gérant des secteurs dans la plateforme,"2025-03-02 03:23:03","2025-03-02 03:23:03"
11,subsector_manager,Responsable des sous-secteurs,Administrateur des sous-secteurs dans la plateforme,"2025-03-02 03:23:03","2025-03-02 03:23:03"
